NatEmis,DataYear,Province,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
700160390,2025,GT,EDENGLEN HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917119,917119,8160390,,28.17657401,-26.13578329,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700018,797007006,EDEN GLEN,TREVOR WEINERLEIN,EDENGLEN,EDENVALE,JOHANNESBURG,"8, STEYN AVE, EDENGLEN, EDENVALE, JOHANNESBURG",P.O. BOX 8001 EDENGLEN 1613,,116098336,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700160390,99,1551,70
700160416,2025,GT,EDENVALE HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917120,917120,8160416,,28.14721059,-26.14866324,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700019,797007011,DOWERGLEN EXT 3,MELT VAN ZYL,EDENVALE,EDENVALE,EDENVALE,"1, LINKSFIELD ROAD, EDENVALE, EDENVALE, EDENVALE",106 EDENVALE 1610,,114539014,YES,ACD,Q5,,NOT APPLICABLE,35251,NO,URBAN,879,GT,NOT MOVED,700160416,99,1336,81
700160523,2025,GT,HOLY ROSARY CONVENT SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,HOUSE OF ASSEMBLY(HOA),99,99,,,28.15657235,-26.15140724,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700018,797007014,ELMA PARK,DEON OERSON,,EDENVALE,EDENVALE,"113, HORWOOD STREET, , EDENVALE, EDENVALE",341 EDENVALE 1610,,114570900,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700160523,99,605,77
700160572,2025,GT,DOWERGLEN HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917126,917126,8160572,,28.14549715,-26.14223817,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700019,797007011,DOWERGLEN EXT 3,MAMATLE ALLETA MANYAKE HADEBE,DUNVEGAN,EDENVALE,EDENVALE,"1, FIRST AVE, DUNVEGAN, EDENVALE, EDENVALE",96 EDENVALE 1610,,116098227,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700160572,99,935,44
700160598,2025,GT,HOËRSKOOL GOUDRIF,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917127,917127,8160598,,28.193289,-26.176696,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700092,797008033,MARLANDS,DEON JANSE VAN RENSBURG,MARLANDS,GERMISTON,GERMISTON,"1, KRAFT ROAD, MARLANDS, GERMISTON, GERMISTON",6007 HOMESTEAD 1412,,118223405,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700160598,99,705,36
700160622,2025,GT,HOËRSKOOL VRYBURGER HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917132,917132,8160622,,28.15441266,-26.18460261,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700036,797008028,DAWNVIEW,STEPHANIE MARLISE DIEDERICKS,DAWNVIEW,GERMISTON,EKURHULINI NORTH,"00, ASSOCIATION RD., DAWNVIEW, GERMISTON, EKURHULINI NORTH",2003 PRIMROSE 1401,,118289047,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700160622,99,787,26
700161125,2025,GT,HERITAGE CHRISTIAN COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,HOUSE OF ASSEMBLY(HOA),99,99,,,28.13873302,-26.13603597,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700019,797007009,MARAIS STEYN PARK,WAYNE SCULLARD,,MODDERFONTEIN,EDENVALE,"9, HARLEY STREET, , MODDERFONTEIN, EDENVALE",P O BOX 195 MODDERFONTEIN 1645,,116083131,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700161125,99,51,3
700161364,2025,GT,SAHETI SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,HOUSE OF ASSEMBLY(HOA),99,99,,,28.125739,-26.152001,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700020,797008016,SAINT ANDREWS,MORAG REES,SENDERWOOD,BEDFORDVIEW,JOHANNESBURG,"1, CIVIN DRIVE, SENDERWOOD, BEDFORDVIEW, JOHANNESBURG",P O BOX 79138 SENDERWOOD 2145,,114793703,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700161364,99,1172,105
700161430,2025,GT,ST ANDREWS SCHOOL FOR GIRLS,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,HOUSE OF ASSEMBLY(HOA),99,99,,,28.12634559,-26.16194787,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700020,797008016,SAINT ANDREWS,GILLIAN TONJA JEFFREY,SENDERWOOD,BEDFORDVIEW,JOHANNESBURG,"1, ST. ANDREW'S AVENUE, SENDERWOOD, BEDFORDVIEW, JOHANNESBURG",PRIVATE BAG X79001 SENDERWOOD 2145,,114539408,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700161430,99,,
700161448,2025,GT,ST BENEDICT'S COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,HOUSE OF ASSEMBLY(HOA),99,99,,,28.13575816,-26.17437256,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700020,797008019,BEDFORDVIEW,ANDRE OOSTHUYSEN,,BEDFORDVIEW,JOHANNESBURG,"10, CNR. HARCUS STREET AND CONCORDE ROAD, , BEDFORDVIEW, JOHANNESBURG",PRIVATE BAG X15 BEDFORDVIEW 2008,,114551906,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700161448,99,987,90
700161745,2025,GT,LEEUHOF AKADEMIE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,DEPARTMENT OF EDUCATION & TRAINING(DET),99,99,,,28.13005988,-26.19718507,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700036,797008031,WYCHWOOD,JACOBUS PAULUS LESSING,,BEDFORDVIEW,JOHANNESBURG,"1, CNR. GELDENHUYS ROAD AND ANTON ROAD, , BEDFORDVIEW, JOHANNESBURG",PO BOX 2573 BEDFORDVIEW 2008,,116221806,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700161745,99,951,72
700162339,2025,GT,HOËRSKOOL PRIMROSE,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917131,917131,8160556,,28.14646584,-26.19915285,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700036,797008025,PRIMROSE,ANDRE JOHANN GROBLER,PRIMROSE,GERMISTON,GERMISTON,"99, WYCHWOOD AVENUE, PRIMROSE, GERMISTON, GERMISTON",PRIVATE BAG X1032 GERMISTON 1400,,110241003,YES,ACD,Q5,,NOT APPLICABLE,35251,NO,URBAN,879,GT,NOT MOVED,700162339,99,1005,39
700260091,2025,GT,EDLEEN PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917033,917033,,,28.19660569,-26.0958094,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700104,797006029,ESTHERPARK,CASWELL TSHEPO LEKGORO,ESTHER PARK,KEMPTON PARK,JOHANNESBURG,"8, PARKLAND DRIVE, ESTHER PARK, KEMPTON PARK, JOHANNESBURG",8313 EDLEEN 1625,,119762183,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700260091,99,1493,56
700260109,2025,GT,HOËRSKOOL BIRCHLEIGH,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,3,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917124,917124,8260109,,28.23562772,-26.05634325,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700015,797006006,BIRCHLEIGH,CARMEN GOVENDER,BIRCHLEIGH,BIRCHLEIGH,KEMPTON PARK,"72, CNR MAROELA STR & OLIENHOUT AVE, BIRCHLEIGH, BIRCHLEIGH, KEMPTON PARK",PRIVATE BAG X05 BIRCHLEIGH 1621,,119725415,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700260109,99,2055,92
700260117,2025,GT,HOËRSKOOL JEUGLAND,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917129,917129,8260117,,28.21302444,-26.07622942,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700015,797006015,VAN RIEBEECK PARK,DAVID JOHN  MORRIS,VAN RIEBEECK PARK,KEMPTONPARK,KEMPTON PARK,"25, CHRISTOFFEL STREET, VAN RIEBEECK PARK, KEMPTONPARK, KEMPTON PARK",PRIVATE BAG BIRCHLEIGH 1621,,119763038,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700260117,99,1657,66
700260125,2025,GT,HOËRSKOOL KEMPTON PARK,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917130,917130,8260125,,28.2347865,-26.08965626,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700016,797006020,KEMPTON PARK SP,BUCKIE KING,KEMPTON PARK,KEMPTON PARK,KEMPTON PARK,"1, H/V VAN RIEBEECKWEG EN FIRLAAN, KEMPTON PARK, KEMPTON PARK, KEMPTON PARK",PRIVATE BAG X1 ASTON MANOR 1630,,119702102,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700260125,99,1729,97
700260471,2025,GT,NORKEM PARK HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY & TECHNICAL,EN001,3,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917144,917144,8260471,,28.22705,-26.04995,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700091,797006008,NORKEM PARK,HASANI PHANUEL CHAUKE,NORKEM PARK,KEMPTON PARK,KEMPTON PARK,"1790, CNR JAMES WRIGHT AVENUE AND MOOIFONTEIN ROAD, NORKEM PARK, KEMPTON PARK, KEMPTON PARK",PRIVATE BAG X04 BIRCHLEIGH 1621,,119724144,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700260471,99,1718,65
700260562,2025,GT,SIR PIERRE VAN RYNEVELD HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917176,917176,8260562,,28.225849,-26.097679,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700016,797006020,KEMPTON PARK SP,JEANETTE MOTSEWE MANGALI,KEMPTON PARK EXT 4,KEMPTON PARK,JOHANNESBURG,"1, COMMISSIONER STREET, KEMPTON PARK EXT 4, KEMPTON PARK, JOHANNESBURG",PO BOX 478 KEMPTON PARK 1620,,119701811,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700260562,99,1917,84
700260620,2025,GT,BOITUMELONG SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,4,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917114,917114,8260620,,28.238453,-26.002895,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700005,797005015,SEDIBENG,KLAAS RASEALA,TEMBISA,KEMPTON PARK,KEMPTON PARK,"216, MIMAS STREET, SEDIBENG SECTION, TEMBISA, KEMPTON PARK, KEMPTON PARK",33 TEMBISA 1628,,100201533,YES,ACD,Q4,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700260620,99,2254,63
700260646,2025,GT,BOKAMOSO SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,4,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917115,917115,8260646,,28.23099126,-25.99477005,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700005,797005012,MAKULONG,MALESELA GOFMAN  TOLO,TEMBISA,KEMPTON PARK,KEMPTON PARK,"583, STAR STREET MAKHULONG SECTION, TEMBISA, KEMPTON PARK, KEMPTON PARK",1504 TEMBISA POST OFFICE 1632,,110267615,YES,ACD,Q4,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700260646,99,1882,56
700260711,2025,GT,ELITE COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,DEPARTMENT OF EDUCATION & TRAINING(DET),99,99,8260711,,28.208055,-26.14116167,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700017,797006038,ISANDO,ANNAH MAHLAKO MPOBANE,,ISANDO,KEMPTON PARK,"30, DIESEL ROAD, , ISANDO, KEMPTON PARK",P O BOX 12201 CHLOORKOP 1624,,119743451,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700260711,99,141,9
700260794,2025,GT,ESSELEN PARK SPORT SCHOOL OF EXCELLENCE,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,DEPARTMENT OF EDUCATION & TRAINING(DET),99,99,8260794,,28.20403669,-26.15954825,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700092,797008006,ELANDSFONTEIN RAIL,MAMPSHE GILBERT MOLALA,,ELANDSFONTEIN,KEMPTON PARK,"4, SIRKEL STREET, , ELANDSFONTEIN, KEMPTON PARK",8106 ELANDSFONTEIN 1406,,119741999,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700260794,99,110,10
700261172,2025,GT,SUPERO PRIVATE COMBINED SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,DEPARTMENT OF EDUCATION & TRAINING(DET),99,99,8261172,,28.23542667,-26.10061167,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700016,797006020,KEMPTON PARK SP,ROUX STEENKAMP,,KEMPTON PARK,KEMPTON PARK,"65, KERK STREET, , KEMPTON PARK, KEMPTON PARK",3434 KEMPTON PARK 1619,,119759162,NO,NONE,N/A,,NOT APPLICABLE,35296,NO,URBAN,,GT,NOT MOVED,700261172,99,690,33
700261222,2025,GT,SIZWE SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917146,917146,8261222,,28.20584991,-26.15697051,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700092,797008006,ELANDSFONTEIN RAIL,MAGEZI DAVID KHOSA,,ELANDSFONTEIN,GERMISTON,"1, CNR HATTINGH AND KENNIS  STREET, , ELANDSFONTEIN, GERMISTON",P.O BOX 54 ISANDO 1600,,100155306,YES,ACD,Q3,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700261222,99,1467,44
700261271,2025,GT,ST MATTHEWS ACADEMY,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,DEPARTMENT OF EDUCATION & TRAINING(DET),99,99,8261271,,28.201493,-26.129768,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700017,797006037,CROYDON,MATSHIDISO ELIZABETH MATLALA,CROYDEN,KEMPTON PARK,KEMPTON PARK,"61, JACOBA LOODS STREET, CROYDEN, KEMPTON PARK, KEMPTON PARK",PO BOX 10820 Aston monor  1619,,113940045,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700261271,99,193,16
